RegionID,RegionName,City,State,CountyName,SizeRank,Date,value
93297,80221,Sherrelwood,CO,Adams,2166,1996-09-01,96800.0
93219,80031,Westminster,CO,Adams,2261,1996-09-01,132400.0
93286,80209,Denver,CO,Denver,2327,1996-09-01,198700.0
93283,80206,Denver,CO,Denver,2331,1996-09-01,187700.0
93474,80601,Brighton,CO,Adams,2721,1996-09-01,129400.0
93330,80260,Thornton,CO,Adams,2863,1996-09-01,112400.0
93294,80218,Denver,CO,Denver,3055,1996-09-01,195700.0
93313,80237,Denver,CO,Denver,3118,1996-09-01,191900.0
93475,80602,Thornton,CO,Adams,3272,1996-09-01,170800.0
93315,80239,Denver,CO,Denver,3344,1996-09-01,95800.0
93316,80241,Thornton,CO,Adams,3426,1996-09-01,147100.0
93310,80234,Westminster,CO,Adams,3594,1996-09-01,140900.0
93298,80222,Denver,CO,Denver,3801,1996-09-01,132500.0
93322,80249,Denver,CO,Denver,4756,1996-09-01,131600.0
93289,80212,Denver,CO,Denver,4845,1996-09-01,107600.0
93300,80224,Denver,CO,Denver,5211,1996-09-01,154400.0
93284,80207,Denver,CO,Denver,5218,1996-09-01,86900.0
93314,80238,Denver,CO,Denver,5359,1996-09-01,134100.0
93319,80246,Denver,CO,Denver,5528,1996-09-01,151500.0
93299,80223,Denver,CO,Denver,5869,1996-09-01,84600.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-09-01,53200.0
93218,80030,Westminster,CO,Adams,6779,1996-09-01,102400.0
93312,80236,Denver,CO,Denver,6891,1996-09-01,128500.0
93723,81201,Salida,CO,Chaffee,7547,1996-09-01,100800.0
93577,80863,Woodland Park,CO,Teller,7580,1996-09-01,152400.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-09-01,101100.0
93306,80230,Denver,CO,Denver,8540,1996-09-01,261200.0
93493,80640,Commerce City,CO,Adams,8665,1996-09-01,146300.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-09-01,101300.0
93374,80421,Bailey,CO,Park,8799,1996-09-01,125700.0
93311,80235,Denver,CO,Denver,8995,1996-09-01,177800.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-09-01,217800.0
93551,80816,Florissant,CO,Teller,9542,1996-09-01,67400.0
93234,80102,Bennett,CO,Adams,10639,1996-09-01,127200.0
93265,80136,Strasburg,CO,Adams,10681,1996-09-01,126200.0
93549,80814,Divide,CO,Teller,10965,1996-09-01,104900.0
93396,80446,Granby,CO,Grand,11159,1996-09-01,104700.0
93393,80442,Fraser,CO,Grand,12023,1996-09-01,118700.0
93397,80447,Grand Lake,CO,Grand,12040,1996-09-01,124500.0
93392,80440,Fairplay,CO,Park,12096,1996-09-01,72400.0
93426,80482,Winter Park,CO,Grand,12277,1996-09-01,142500.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-09-01,81500.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-09-01,107800.0
93399,80449,Hartsel,CO,Park,14218,1996-09-01,32300.0
93562,80827,Lake George,CO,Park,14523,1996-09-01,79200.0
93405,80456,Jefferson,CO,Park,14686,1996-09-01,40900.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-09-01,197700.0
93295,80219,Denver,CO,Denver,611,1996-10-01,86200.0
93252,80123,Denver,CO,Denver,753,1996-10-01,163800.0
93305,80229,Thornton,CO,Adams,943,1996-10-01,97000.0
93309,80233,Northglenn,CO,Adams,1106,1996-10-01,113000.0
93296,80220,Denver,CO,Denver,1249,1996-10-01,146200.0
93307,80231,Denver,CO,Denver,1272,1996-10-01,157400.0
93287,80210,Denver,CO,Denver,1326,1996-10-01,156600.0
93288,80211,Denver,CO,Denver,1388,1996-10-01,96000.0
93212,80022,Commerce City,CO,Adams,1681,1996-10-01,104400.0
93211,80021,Westminster,CO,Adams,1761,1996-10-01,132700.0
93282,80205,Denver,CO,Denver,1844,1996-10-01,71400.0
93280,80203,Denver,CO,Denver,1941,1996-10-01,139200.0
93320,80247,Denver,CO,Denver,1948,1996-10-01,140900.0
93281,80204,Denver,CO,Denver,2156,1996-10-01,76500.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-10-01,97500.0
93219,80031,Westminster,CO,Adams,2261,1996-10-01,132600.0
93286,80209,Denver,CO,Denver,2327,1996-10-01,200000.0
93283,80206,Denver,CO,Denver,2331,1996-10-01,189400.0
93474,80601,Brighton,CO,Adams,2721,1996-10-01,130100.0
93330,80260,Thornton,CO,Adams,2863,1996-10-01,112800.0
93294,80218,Denver,CO,Denver,3055,1996-10-01,197100.0
93313,80237,Denver,CO,Denver,3118,1996-10-01,192700.0
93475,80602,Thornton,CO,Adams,3272,1996-10-01,171400.0
93315,80239,Denver,CO,Denver,3344,1996-10-01,96600.0
93316,80241,Thornton,CO,Adams,3426,1996-10-01,147600.0
93310,80234,Westminster,CO,Adams,3594,1996-10-01,141100.0
93298,80222,Denver,CO,Denver,3801,1996-10-01,133200.0
93322,80249,Denver,CO,Denver,4756,1996-10-01,132200.0
93289,80212,Denver,CO,Denver,4845,1996-10-01,108700.0
93300,80224,Denver,CO,Denver,5211,1996-10-01,155000.0
93284,80207,Denver,CO,Denver,5218,1996-10-01,87400.0
93314,80238,Denver,CO,Denver,5359,1996-10-01,135200.0
93319,80246,Denver,CO,Denver,5528,1996-10-01,152600.0
93299,80223,Denver,CO,Denver,5869,1996-10-01,85100.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-10-01,53400.0
93218,80030,Westminster,CO,Adams,6779,1996-10-01,102900.0
93312,80236,Denver,CO,Denver,6891,1996-10-01,128800.0
93723,81201,Salida,CO,Chaffee,7547,1996-10-01,101300.0
93577,80863,Woodland Park,CO,Teller,7580,1996-10-01,153500.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-10-01,101600.0
93306,80230,Denver,CO,Denver,8540,1996-10-01,262700.0
93493,80640,Commerce City,CO,Adams,8665,1996-10-01,146800.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-10-01,102000.0
93374,80421,Bailey,CO,Park,8799,1996-10-01,126300.0
93311,80235,Denver,CO,Denver,8995,1996-10-01,178000.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-10-01,219100.0
93551,80816,Florissant,CO,Teller,9542,1996-10-01,68100.0
93234,80102,Bennett,CO,Adams,10639,1996-10-01,127900.0
93265,80136,Strasburg,CO,Adams,10681,1996-10-01,126100.0
93549,80814,Divide,CO,Teller,10965,1996-10-01,105500.0
93396,80446,Granby,CO,Grand,11159,1996-10-01,105300.0
93393,80442,Fraser,CO,Grand,12023,1996-10-01,119700.0
93397,80447,Grand Lake,CO,Grand,12040,1996-10-01,124900.0
